Tag (subcategory_tag),Description
audience_engagement_commerical,Remarks encouraging engagement in commercialised activities and the purchase of products.
audience_engagement_contributions,"Asks for audience engagement through reactions, contributions and specific recommendations/explanations."
audience_engagement_description,Refers to the content of the YouTube video description of image description.
audience_engagement_follow,Remarks encouraging the audience to follow the creator on YT or other platforms.
audience_engagement_format,"Comments relating to the video format, either internal to the video or within a planned series, including the posting schedule."
audience_engagement_identification,"Identifies with the audience, or with members of the audience."
audience_engagement_own_resonances,"Shares personal resonances with the audience, be these associations, reflections, memories or ideas."
audience_engagement_privacy,Remarks relating to the creator's concern for privacy.
audience_engagement_real_life,Comments encouraging audience to engage in real life activities.
audience_engagement_recommendation,"Makes recommendation of another book, material or resource to the audience."
audience_engagement_topic_selection,Comments explaining or justifying the video topic selection.
emotional_response_annoyance,"Responses displaying clear irritation, annoyance, anger, etc."
emotional_response_anticipation,"Expresses feelings of anticipation about reading hte book in question, or other works."
emotional_response_comforting,Expressing feelings of comfort from reading the text in question or the author's work.
emotional_response_cried,Reported crying in response to the text under discussion.
emotional_response_depressing,Reporting feeling depressed by the text or the author's work.
emotional_response_detachment,Comments expressing sense of detachment from the text or analysis of the text or relevant background.
emotional_response_displeasure,Comments expressing emotional responses of displeasure.
emotional_response_engagement,References to emotional response of engagement.
emotional_response_hope,References an emotional response of hopefulness.
emotional_response_love,Comments expressing feelings of love.
emotional_response_physical,"References a physical emotional response to the text, e.g. goosebumps or panic."
emotional_response_pleasurable,Comments expressing a pleasurable reading experience.
evaluation_aesthetic,Evaluations of the work in question in terms of aesthetic value and pleasure.
evaluation_derogatory_remark,Uses a derogatory remark to evaluate the text or author.
evaluation_female_writing,"Reflecting on the value of the work as an example of writing by or about women, or as contributing to feminist causes and discussion."
evaluation_oeuvre,Comments relating to the entire body of work of the writer in question.
evaluation_reputation,Comments reflecting on author's prestige or widespread reputation.
evaluation_cultural_value,"Evaluates the cultural value of text, without necessarily defining cultural value; often used with ‘evaluation_positive’ and ‘evaluation_negative’ tags."
evaluation_discursive,Reflections on the text's discursive qualities.
evaluation_dull,Evaluates the text as dull.
evaluation_exciting,Evaluations of the text as exciting and engaging.
evaluation_flawed,"Evaluates the text as flawed, especially in a textually-grounded way."
evaluation_good_taste,References to displays of good taste.
evaluation_immoral,Negative reflections on the moral character of the text.
evaluation_instructive,Reflections on the text as being instructive.
evaluation_literary,Comments evaluating the literariness of the text in question and deciding that it does have some literary value.
evaluation_masterful,"Judgement on text: skilful, masterful, a masterpiece, etc."
evaluation_modern,Reflections on the text or themes as modern.
